area,area_title,area_type,naics,naics_title,occ code,occ title,tot_emp,a_median
02,Alaska,2,000000,Cross-industry,25-2012,"Kindergarten Teachers, Except Special Education",1020,66820
02,Alaska,2,000000,Cross-industry,25-2022,"Middle School Teachers, Except Special and Career/Technical Education",1370,81690
02,Alaska,2,000000,Cross-industry,25-2023,"Career/Technical Education Teachers, Middle School",80,85550
02,Alaska,2,000000,Cross-industry,25-2032,"Career/Technical Education Teachers, Secondary School",220,77700
02,Alaska,2,000000,Cross-industry,25-2051,"Special Education Teachers, Preschool",70,70580
02,Alaska,2,000000,Cross-industry,25-2053,"Special Education Teachers, Middle School",240,65520
02,Alaska,2,000000,Cross-industry,25-2054,"Special Education Teachers, Secondary School",280,76470
02,Alaska,2,000000,Cross-industry,25-2059,"Special Education Teachers, All Other",40,50920
04,Arizona,2,000000,Cross-industry,25-2023,"Career/Technical Education Teachers, Middle School",190,42890
04,Arizona,2,000000,Cross-industry,25-2051,"Special Education Teachers, Preschool",310,44750
04,Arizona,2,000000,Cross-industry,25-2053,"Special Education Teachers, Middle School",1380,39590
05,Arkansas,2,000000,Cross-industry,25-2023,"Career/Technical Education Teachers, Middle School",180,50900
05,Arkansas,2,000000,Cross-industry,25-2032,"Career/Technical Education Teachers, Secondary School",880,49750
05,Arkansas,2,000000,Cross-industry,25-2051,"Special Education Teachers, Preschool",450,31410
05,Arkansas,2,000000,Cross-industry,25-2053,"Special Education Teachers, Middle School",630,48350
05,Arkansas,2,000000,Cross-industry,25-2059,"Special Education Teachers, All Other",130,46550
06,California,2,000000,Cross-industry,25-2051,"Special Education Teachers, Preschool",2050,70670
08,Colorado,2,000000,Cross-industry,25-2011,"Preschool Teachers, Except Special Education",7470,27260
08,Colorado,2,000000,Cross-industry,25-2023,"Career/Technical Education Teachers, Middle School",220,52840
08,Colorado,2,000000,Cross-industry,25-2032,"Career/Technical Education Teachers, Secondary School",860,53690
08,Colorado,2,000000,Cross-industry,25-2052,"Special Education Teachers, Kindergarten and Elementary School",3140,48800
09,Connecticut,2,000000,Cross-industry,25-2023,"Career/Technical Education Teachers, Middle School",190,72940
09,Connecticut,2,000000,Cross-industry,25-2059,"Special Education Teachers, All Other",320,60120
10,Delaware,2,000000,Cross-industry,25-2054,"Special Education Teachers, Secondary School",290,61840
10,Delaware,2,000000,Cross-industry,25-2059,"Special Education Teachers, All Other",100,70050
11,District of Columbia,2,000000,Cross-industry,25-2011,"Preschool Teachers, Except Special Education",830,39940
11,District of Columbia,2,000000,Cross-industry,25-2012,"Kindergarten Teachers, Except Special Education",100,52010
11,District of Columbia,2,000000,Cross-industry,25-2021,"Elementary School Teachers, Except Special Education",3140,67090
11,District of Columbia,2,000000,Cross-industry,25-2053,"Special Education Teachers, Middle School",240,60430
11,District of Columbia,2,000000,Cross-industry,25-2054,"Special Education Teachers, Secondary School",470,64270
11,District of Columbia,2,000000,Cross-industry,25-2059,"Special Education Teachers, All Other",110,62360
12,Florida,2,000000,Cross-industry,25-2023,"Career/Technical Education Teachers, Middle School",480,52670
13,Georgia,2,000000,Cross-industry,25-2023,"Career/Technical Education Teachers, Middle School",630,58260
13,Georgia,2,000000,Cross-industry,25-2054,"Special Education Teachers, Secondary School",3020,55750
13,Georgia,2,000000,Cross-industry,25-2059,"Special Education Teachers, All Other",150,67320
15,Hawaii,2,000000,Cross-industry,25-2012,"Kindergarten Teachers, Except Special Education",100,44350
15,Hawaii,2,000000,Cross-industry,25-2052,"Special Education Teachers, Kindergarten and Elementary School",990,47780
16,Idaho,2,000000,Cross-industry,25-2011,"Preschool Teachers, Except Special Education",910,21930
16,Idaho,2,000000,Cross-industry,25-2051,"Special Education Teachers, Preschool",50,38280
16,Idaho,2,000000,Cross-industry,25-2052,"Special Education Teachers, Kindergarten and Elementary School",890,43350
16,Idaho,2,000000,Cross-industry,25-2053,"Special Education Teachers, Middle School",210,51020
16,Idaho,2,000000,Cross-industry,25-2054,"Special Education Teachers, Secondary School",310,46220
17,Illinois,2,000000,Cross-industry,25-2023,"Career/Technical Education Teachers, Middle School",220,57870
18,Indiana,2,000000,Cross-industry,25-2011,"Preschool Teachers, Except Special Education",4280,24530
18,Indiana,2,000000,Cross-industry,25-2023,"Career/Technical Education Teachers, Middle School",240,49760
18,Indiana,2,000000,Cross-industry,25-2051,"Special Education Teachers, Preschool",220,48570
